mask,K,start_index,height_m,union_count,intersection_count,intersection_fraction_of_level
observation_samples,3,3,13473.684210526315,0,0,0.0
observation_samples,3,3,14236.842105263157,0,0,0.0
observation_samples,3,3,15000.0,0,0,0.0
observation_samples,4,0,500.0,27363,22523,0.27874310041830647
observation_samples,4,0,1263.157894736842,28131,23575,0.29176258013415507
observation_samples,4,0,2026.3157894736842,28862,24315,0.3009207692878889
observation_samples,4,0,2789.4736842105262,28465,22600,0.27969604712754637
observation_samples,4,0,3552.6315789473683,22221,16224,0.20078710922996956
observation_samples,4,0,4315.78947368421,18071,13501,0.16708744833048686
observation_samples,4,0,5078.9473684210525,16178,11804,0.14608549293334325
observation_samples,4,0,5842.105263157895,12781,9051,0.11201455409519566
observation_samples,4,0,6605.263157894737,7997,5011,0.062015791688324544
observation_samples,4,0,7368.421052631578,2453,904,0.011187841885101853
observation_samples,4,0,8131.578947368421,172,29,0.00035890200737605504
observation_samples,4,0,8894.736842105263,10,0,0.0
observation_samples,4,0,9657.894736842105,0,0,0.0
observation_samples,4,0,10421.052631578947,0,0,0.0
observation_samples,4,0,11184.21052631579,0,0,0.0
observation_samples,4,0,11947.368421052632,0,0,0.0
observation_samples,4,0,12710.526315789473,0,0,0.0
observation_samples,4,0,13473.684210526315,0,0,0.0
observation_samples,4,0,14236.842105263157,0,0,0.0
observation_samples,4,0,15000.0,0,0,0.0
observation_samples,4,1,500.0,27504,22930,0.28378010445286006
observation_samples,4,1,1263.157894736842,28288,23954,0.29645305809262146
observation_samples,4,1,2026.3157894736842,28946,24702,0.3057102546966659
observation_samples,4,1,2789.4736842105262,28425,23017,0.28485681047498823
observation_samples,4,1,3552.6315789473683,22028,16673,0.206343902378654
observation_samples,4,1,4315.78947368421,18027,14042,0.17378282715774362
observation_samples,4,1,5078.9473684210525,16379,12413,0.1536224350882404
observation_samples,4,1,5842.105263157895,12949,9492,0.11747233979356947
observation_samples,4,1,6605.263157894737,8099,5207,0.06444147422093513
observation_samples,4,1,7368.421052631578,2481,1022,0.012648201777183734
observation_samples,4,1,8131.578947368421,161,29,0.00035890200737605504
observation_samples,4,1,8894.736842105263,7,0,0.0
observation_samples,4,1,9657.894736842105,0,0,0.0
observation_samples,4,1,10421.052631578947,0,0,0.0
observation_samples,4,1,11184.21052631579,0,0,0.0
observation_samples,4,1,11947.368421052632,0,0,0.0
observation_samples,4,1,12710.526315789473,0,0,0.0
observation_samples,4,1,13473.684210526315,0,0,0.0
observation_samples,4,1,14236.842105263157,0,0,0.0
observation_samples,4,1,15000.0,0,0,0.0
observation_samples,4,2,500.0,27610,23271,0.2880002970223509
observation_samples,4,2,1263.157894736842,28363,24211,0.29963367243385064
observation_samples,4,2,2026.3157894736842,28945,24885,0.30797505012252174
observation_samples,4,2,2789.4736842105262,28420,23223,0.2874062523204871
observation_samples,4,2,3552.6315789473683,22117,16929,0.20951214078859434
observation_samples,4,2,4315.78947368421,18206,14421,0.17847330511620998
observation_samples,4,2,5078.9473684210525,16636,12920,0.15989703225167695
observation_samples,4,2,5842.105263157895,13257,9855,0.12196480285141457
observation_samples,4,2,6605.263157894737,8259,5415,0.06701566792901166
observation_samples,4,2,7368.421052631578,2517,1035,0.012809088883938516
observation_samples,4,2,8131.578947368421,182,28,0.00034652607608722555
observation_samples,4,2,8894.736842105263,24,0,0.0
observation_samples,4,2,9657.894736842105,8,0,0.0
observation_samples,4,2,10421.052631578947,0,0,0.0
observation_samples,4,2,11184.21052631579,0,0,0.0
observation_samples,4,2,11947.368421052632,0,0,0.0
observation_samples,4,2,12710.526315789473,0,0,0.0
observation_samples,4,2,13473.684210526315,0,0,0.0
observation_samples,4,2,14236.842105263157,0,0,0.0
observation_samples,4,2,15000.0,0,0,0.0
observation_samples,5,0,500.0,27820,22189,0.27460953936783744
observation_samples,5,0,1263.157894736842,28554,23240,0.2876166431523972
observation_samples,5,0,2026.3157894736842,29212,23947,0.2963664265735997
observation_samples,5,0,2789.4736842105262,28789,22114,0.2736813445211752
observation_samples,5,0,3552.6315789473683,22668,15805,0.19560159401995
observation_samples,5,0,4315.78947368421,18463,13169,0.16297863914259547
observation_samples,5,0,5078.9473684210525,16661,11520,0.14257072844731566
observation_samples,5,0,5842.105263157895,13191,8835,0.1093413529368085
observation_samples,5,0,6605.263157894737,8316,4805,0.05946634984282567
observation_samples,5,0,7368.421052631578,2595,824,0.010197767381995496
observation_samples,5,0,8131.578947368421,192,26,0.0003217742135095666
observation_samples,5,0,8894.736842105263,10,0,0.0
observation_samples,5,0,9657.894736842105,0,0,0.0
observation_samples,5,0,10421.052631578947,0,0,0.0
observation_samples,5,0,11184.21052631579,0,0,0.0
observation_samples,5,0,11947.368421052632,0,0,0.0
observation_samples,5,0,12710.526315789473,0,0,0.0
observation_samples,5,0,13473.684210526315,0,0,0.0
observation_samples,5,0,14236.842105263157,0,0,0.0
observation_samples,5,0,15000.0,0,0,0.0
observation_samples,5,1,500.0,27943,22615,0.2798816860968788
observation_samples,5,1,1263.157894736842,28694,23610,0.2921957377292641
observation_samples,5,1,2026.3157894736842,29274,24327,0.30106928046335485
observation_samples,5,1,2789.4736842105262,28792,22502,0.27848320586124103
observation_samples,5,1,3552.6315789473683,22565,16248,0.20108413158090147
observation_samples,5,1,4315.78947368421,18485,13767,0.1703794460533155
observation_samples,5,1,5078.9473684210525,16867,12169,0.150602707853766
observation_samples,5,1,5842.105263157895,13432,9268,0.11470013118487166
observation_samples,5,1,6605.263157894737,8393,5037,0.06233756590183411
observation_samples,5,1,7368.421052631578,2637,918,0.011361104923145467
observation_samples,5,1,8131.578947368421,198,23,0.00028464641964307815
observation_samples,5,1,8894.736842105263,25,0,0.0
observation_samples,5,1,9657.894736842105,8,0,0.0
observation_samples,5,1,10421.052631578947,0,0,0.0
observation_samples,5,1,11184.21052631579,0,0,0.0
observation_samples,5,1,11947.368421052632,0,0,0.0
observation_samples,5,1,12710.526315789473,0,0,0.0
observation_samples,5,1,13473.684210526315,0,0,0.0
observation_samples,5,1,14236.842105263157,0,0,0.0
observation_samples,5,1,15000.0,0,0,0.0
observation_any,3,0,500.0,25425,22163,0.5485755303086557
observation_any,3,0,1263.157894736842,25945,23024,0.5698868839880201
observation_any,3,0,2026.3157894736842,26381,23616,0.5845399866339942
observation_any,3,0,2789.4736842105262,25866,21963,0.5436251577931239
observation_any,3,0,3552.6315789473683,19531,15321,0.3792232865523131
observation_any,3,0,4315.78947368421,15467,12370,0.30618054008564144
observation_any,3,0,5078.9473684210525,13506,10666,0.26400336625331056
observation_any,3,0,5842.105263157895,10775,8461,0.20942550926957254
observation_any,3,0,6605.263157894737,7209,5165,0.1278433702136086
observation_any,3,0,7368.421052631578,2190,1024,0.025345907279522784
observation_any,3,0,8131.578947368421,146,37,0.0009158189153733818
observation_any,3,0,8894.736842105263,9,0,0.0
observation_any,3,0,9657.894736842105,0,0,0.0
observation_any,3,0,10421.052631578947,0,0,0.0
observation_any,3,0,11184.21052631579,0,0,0.0
observation_any,3,0,11947.368421052632,0,0,0.0
observation_any,3,0,12710.526315789473,0,0,0.0
observation_any,3,0,13473.684210526315,0,0,0.0
observation_any,3,0,14236.842105263157,0,0,0.0
observation_any,3,0,15000.0,0,0,0.0
observation_any,3,1,500.0,25550,22481,0.5564466226083513
observation_any,3,1,1263.157894736842,26089,23295,0.5765946387465657
observation_any,3,1,2026.3157894736842,26517,23874,0.5909259671790302
observation_any,3,1,2789.4736842105262,25986,22216,0.5498873790252716
observation_any,3,1,3552.6315789473683,19436,15639,0.3870943788520086
observation_any,3,1,4315.78947368421,15469,12838,0.31776441177198583
observation_any,3,1,5078.9473684210525,13746,11168,0.27642880126729535
observation_any,3,1,5842.105263157895,10939,8783,0.21739560901957872
observation_any,3,1,6605.263157894737,7259,5368,0.13286799831687335
observation_any,3,1,7368.421052631578,2193,1146,0.02836563451399718
observation_any,3,1,8131.578947368421,138,36,0.0008910670527957229
observation_any,3,1,8894.736842105263,7,0,0.0
observation_any,3,1,9657.894736842105,0,0,0.0
observation_any,3,1,10421.052631578947,0,0,0.0
observation_any,3,1,11184.21052631579,0,0,0.0
observation_any,3,1,11947.368421052632,0,0,0.0
observation_any,3,1,12710.526315789473,0,0,0.0
observation_any,3,1,13473.684210526315,0,0,0.0
observation_any,3,1,14236.842105263157,0,0,0.0
observation_any,3,1,15000.0,0,0,0.0
observation_any,3,2,500.0,25550,22668,0.5610752209103735
observation_any,3,2,1263.157894736842,26080,23459,0.5806539442093017
observation_any,3,2,2026.3157894736842,26499,23922,0.5921140565827578
observation_any,3,2,2789.4736842105262,25896,22314,0.5523130615578822
observation_any,3,2,3552.6315789473683,19386,15750,0.38984183559812874
observation_any,3,2,4315.78947368421,15571,13040,0.32276428801267293
observation_any,3,2,5078.9473684210525,13977,11540,0.2856364941461845
observation_any,3,2,5842.105263157895,11175,9036,0.22365783025172645
observation_any,3,2,6605.263157894737,7433,5473,0.13546694388752753
observation_any,3,2,7368.421052631578,2256,1144,0.028316130788841862
observation_any,3,2,8131.578947368421,143,38,0.0009405707779510408
observation_any,3,2,8894.736842105263,2,0,0.0
observation_any,3,2,9657.894736842105,0,0,0.0
observation_any,3,2,10421.052631578947,0,0,0.0
observation_any,3,2,11184.21052631579,0,0,0.0
observation_any,3,2,11947.368421052632,0,0,0.0
observation_any,3,2,12710.526315789473,0,0,0.0
observation_any,3,2,13473.684210526315,0,0,0.0
observation_any,3,2,14236.842105263157,0,0,0.0
observation_any,3,2,15000.0,0,0,0.0
observation_any,3,3,500.0,25569,22927,0.5674859533179871
observation_any,3,3,1263.157894736842,26109,23670,0.5858765872131878
observation_any,3,3,2026.3157894736842,26462,24060,0.5955298136184748
observation_any,3,3,2789.4736842105262,25856,22508,0.5571149228979481
observation_any,3,3,3552.6315789473683,19451,16045,0.39714363505853817
observation_any,3,3,4315.78947368421,15687,13359,0.33066013217494616
observation_any,3,3,5078.9473684210525,14214,11941,0.2955619910398257
observation_any,3,3,5842.105263157895,11437,9322,0.23073686294893692
observation_any,3,3,6605.263157894737,7514,5623,0.13917972327417638
observation_any,3,3,7368.421052631578,2266,1123,0.027796341674711022
observation_any,3,3,8131.578947368421,163,37,0.0009158189153733818
observation_any,3,3,8894.736842105263,24,0,0.0
observation_any,3,3,9657.894736842105,8,0,0.0
observation_any,3,3,10421.052631578947,0,0,0.0
observation_any,3,3,11184.21052631579,0,0,0.0
observation_any,3,3,11947.368421052632,0,0,0.0
observation_any,3,3,12710.526315789473,0,0,0.0
observation_any,3,3,13473.684210526315,0,0,0.0
