window,K,representation,domain,mode,index,singular_value,normalized_singular_value,cumulative_energy,effective_rank,rank_90,rank_95,rank_99
K3_T3-5,3,eulerian,A_common_dense,x,10,1.585398603025134,0.00523962911358726,0.9999778728149186,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,11,1.0246513901427703,0.0033863996378105826,0.9999860180642243,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,12,0.7600850985479511,0.0025120269461298052,0.9999905001127158,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,13,0.7112523049968702,0.0023506380523211335,0.9999944247496627,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,14,0.5467452328023167,0.0018069539319889552,0.9999967438638053,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,15,0.35825379050050016,0.0011840031820247875,0.999997739575717,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,16,0.32225266068510655,0.001065022020099429,0.9999985452233545,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,17,0.2593147569384749,0.000857016744839466,0.9999990669062269,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,18,0.23344844191677955,0.000771530421721553,0.9999994897053459,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,19,0.20685751825726378,0.0006836493188255854,0.9999998216722088,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,x,20,0.15161195853848813,0.0005010666909952193,1.0,2.2606535864354087,2,3,3
K3_T3-5,3,eulerian,A_common_dense,y,1,327.4100884002096,1.0,0.8316416444304776,1.6172766535241254,2,2,2
K3_T3-5,3,eulerian,A_common_dense,y,2,144.86328866879862,0.44245212289159835,0.9944470403880582,1.6172766535241254,2,2,2
K3_T3-5,3,eulerian,A_common_dense,y,3,24.35980315024563,0.07440150445355072,0.9990506624563895,1.6172766535241254,2,2,2
K3_T3-5,3,eulerian,A_common_dense,y,4,9.98864521290318,0.030508055697702152,0.9998247058167644,1.6172766535241254,2,2,2
K3_T3-5,3,eulerian,A_common_dense,y,5,4.489657707864286,0.013712643155871099,0.9999810848692984,1.6172766535241254,2,2,2
K3_T3-5,3,eulerian,A_common_dense,y,6,1.368402082458623,0.004179474399047708,0.9999956119907429,1.6172766535241254,2,2,2
