window,representation,domain,rank_name,z_m,component,rmse_m_s
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,2026.3157894736842,v,1.3120593940801881
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,2026.3157894736842,w,0.24319725760602082
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,2789.4736842105262,u,0.28191896132562344
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,2789.4736842105262,v,0.3912929898310374
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,2789.4736842105262,w,0.09634780412125477
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,3552.6315789473683,u,0.2855533065666529
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,3552.6315789473683,v,0.3430566154036258
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,3552.6315789473683,w,0.0896151155366172
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,4315.78947368421,u,0.5136372595028472
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,4315.78947368421,v,0.6161594278769391
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,4315.78947368421,w,0.11642723702885717
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,5078.9473684210525,u,0.47456389792525244
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,5078.9473684210525,v,0.32748696627370943
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,5078.9473684210525,w,0.05841482821580247
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,5842.105263157895,u,0.9491505201779054
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,5842.105263157895,v,0.3333616189734152
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,5842.105263157895,w,0.050028606810200514
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,6605.263157894737,u,nan
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,6605.263157894737,v,nan
K3_T1-3,eulerian,B_structured_missing,moderate_rt_full,6605.263157894737,w,nan
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,2026.3157894736842,u,1.6063293568942476
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,2026.3157894736842,v,1.1599128207171032
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,2026.3157894736842,w,0.8784660861621066
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,2789.4736842105262,u,1.6021266998394215
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,2789.4736842105262,v,0.8784189418916957
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,2789.4736842105262,w,0.8486543145711751
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,3552.6315789473683,u,1.4509462835967737
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,3552.6315789473683,v,0.8378684410210953
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,3552.6315789473683,w,0.7609863055787336
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,4315.78947368421,u,1.2633920300427985
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,4315.78947368421,v,0.808587902765201
K3_T1-3,storm_relative,A_common_dense,aggressive_temporal,4315.78947368421,w,0.6304769821561836
